Rank,Article,Word,Translation,Czech,Part of Speech
1,,de,of,z,preposition
2,,que,that,že,conjunction
3,,no,no,ne,adverb
4,,a,to,k,preposition
5,,y,and,a,conjunction
6,,ser,to be,být (trvale),verb
7,,en,in,v,preposition
8,,por,for,za,preposition
9,,qué,what,co,pronoun
10,,con,with,s,preposition
11,,para,for,pro,preposition
12,,estar,to be,být (dočasně),verb
13,,mi,my,můj,adjective
14,,pero,but,ale,conjunction
15,,sí,yes,ano,adverb
16,,si,if,jestli,conjunction
17,,bien,well,dobře,adverb
18,,ese,that,ten,pronoun
19,,su,his/her,jeho/její,adjective
20,,yo,I,já,pronoun
21,,como,like,jako,conjunction
22,,aquí,here,tady,adverb
23,,tu,your,tvůj,adjective
24,,más,more,více,adverb
25,,este,this,tento,pronoun
26,,todo,all,vše,adjective
27,,ya,already,už,adverb
28,,ahora,now,teď,adverb
29,,muy,very,velmi,adverb
30,,haber,to have,mít,verb
31,,así,like that,takto,adverb
32,,ir,to go,jít,verb
33,,algo,something,něco,pronoun
34,,bueno,good,dobrý,adjective
35,,tener,to have,mít,verb
36,,él,he,on,pronoun
37,,cuando,when,když,conjunction
38,,saber,to know,vědět,verb
39,,tú,you (informal),ty,pronoun
40,,nos,us,nás,pronoun
41,,nada,nothing,nic,pronoun
42,,cómo,how,jak,adverb
43,,o,or,nebo,conjunction
44,,poder,to be able,moci,verb
45,,ella,she,ona,pronoun
46,,querer,to want,chtít,verb
47,,hacer,to do,dělat,verb
48,la,gracia,thanks,díky,noun
49,la,vez,time,krát,noun
50,,solo,only,jen,adjective
51,,porque,because,protože,conjunction
52,,creer,to believe,věřit,verb
53,,usted,you (formal),vy,pronoun
54,,entonces,then,pak,adverb
55,,hola,hello,ahoj,interjection
56,la,verdad,true,pravda,noun
57,la,casa,home,dům,noun
58,,tan,so,tak,adverb
59,,quién,who,kdo,pronoun
60,el,tiempo,time,čas,noun
61,,dos,two,dva,number
62,,nunca,never,nikdy,adverb
63,,dónde,where,kde,adverb
64,el,favor,please,laskavost,noun
65,,mucho,a lot,hodně,adjective
66,,mí,me,mě,pronoun
67,,sentir,to feel,cítit,verb
68,el,señor,mister,pan,noun
69,,mejor,better,lepší,adjective
70,,decir,to say,říct,verb
71,,también,also,také,adverb
72,,sobre,about,o,preposition
73,el,dios,god,bůh,noun
74,,sin,without,bez,preposition
75,,ver,to see,vidět,verb
76,el,hombre,man,muž,noun
77,la,vida,life,život,noun
78,,alguien,someone,někdo,pronoun
79,la,cosa,thing,věc,noun
80,,siempre,always,vždy,adverb
81,,hasta,until,do,preposition
82,,ahí,there,tam,adverb
83,el,año,year,rok,noun
84,,antes,before,dříve,adverb
85,,ni,neither,ani,conjunction
86,,poco,a little,trochu,adjective
87,el,día,day,den,noun
88,,uno,one,jeden,article
89,la,noche,night,noc,noun
90,,otro,another,jiný,adjective
91,el,acuerdo,agreement,dohoda,noun
92,el,trabajo,work,práce,noun
93,,nosotros,we,my,pronoun
94,,parecer,to seem,zdát se,verb
95,la,gente,people,lidé,noun
96,el,padre,father,otec,noun
97,,mirar,to look,dívat se,verb
98,,mismo,same,stejný,adjective
99,,nadie,nobody,nikdo,pronoun
100,,hablar,to speak,mluvit,verb
101,,ellos,they,oni,pronoun
102,,tal,such,takový,adjective
103,,pasar,to happen,stát se,verb
104,,después,after,potom,adverb
105,,desde,from,od,preposition
106,el,dinero,money,peníze,noun
107,el,mundo,world,svět,noun
108,,claro,of course,jasně,adjective
109,el,momento,moment,chvíle,noun
110,el,estado,state,stát,noun
111,la,mañana,tomorrow,zítra,noun
112,la,madre,mother,matka,noun
113,,valer,to be worth,stát za,verb
114,el,lugar,place,místo,noun
115,,donde,where,kde,adverb
116,,seguro,sure,jistě,adjective
117,,esperar,to wait,čekat,verb
118,,nuevo,new,nový,adjective
119,el,hijo,son,syn,noun
120,,allí,there,tam,adverb
121,,menos,less,méně,adverb
122,el,tipo,type,typ,noun
123,el,amigo,friend,přítel,noun
124,,gran,great,velký,adjective
125,,nuestro,our,náš,adjective
126,la,mujer,woman,žena,noun
127,la,mamá,mom,máma,noun
128,,luego,then,pak,adverb
129,el,papá,dad,táta,noun
130,,hoy,today,dnes,adverb
131,,tres,three,tři,number
132,,necesitar,to need,potřebovat,verb
133,,oír,to hear,slyšet,verb
134,,gustar,to like,líbit se,verb
135,la,parte,part,část,noun
136,,conmigo,with me,se mnou,preposition
137,el,nombre,name,jméno,noun
138,,mal,bad,špatně,adverb
139,,deber,should,muset,verb
140,,realmente,really,opravdu,adverb
141,,aún,still,ještě,adverb
142,,mío,mine,můj,adjective
143,,cada,each,každý,adjective
144,,importar,to matter,záležet,verb
145,,contigo,with you,s tebou,preposition
146,la,razón,reason,důvod,noun
147,,alguno,some,nějaký,adjective
148,,tanto,so much,tolik,adverb
149,,serio,serious,vážný,adjective
150,,venir,to come,přijít,verb
151,la,idea,idea,nápad,noun
152,la,tarde,afternoon,odpoledne,noun
153,el,problema,problem,problém,noun
154,la,hora,hour,hodina,noun
155,,cierto,surely,jistě,adjective
156,,quien,who,kdo,pronoun
157,,demasiado,too much,příliš,adverb
158,el,amor,love,láska,noun
159,,entre,between,mezi,preposition
160,la,familia,family,rodina,noun
161,la,policía,police,policie,noun
162,la,chica,girl,dívka,noun
163,el,chico,boy,kluk,noun
164,la,cuenta,account,účet,noun
165,,todavía,still,stále,adverb
166,,salir,to go out,vyjít,verb
167,,algún,some,nějaký,adjective
168,el,hermano,brother,bratr,noun
169,,pensar,to think,myslet,verb
170,la,cabeza,head,hlava,noun
171,el,cariño,darling,miláček,noun
172,,cualquier,any,jakýkoliv,adjective
173,la,forma,form,forma,noun
174,,mientras,while,zatímco,conjunction
175,el,lado,side,strana,noun
176,el,caso,case,případ,noun
177,,primero,first,první,adjective
178,,genial,great,skvělý,adjective
179,,suponer,to suppose,předpokládat,verb
180,,pues,well,no,conjunction
181,,adiós,goodbye,sbohem,interjection
182,la,persona,person,osoba,noun
183,la,señora,mrs.,paní,noun
184,,volver,to return,vrátit se,verb
185,,contra,against,proti,preposition
186,el,camino,path,cesta,noun
187,,durante,during,během,preposition
188,la,manera,way,způsob,noun
189,,muerto,dead,mrtvý,adjective
190,,rápido,fast,rychlý,adjective
191,,cuál,which,který,pronoun
192,la,ayuda,help,pomoc,noun
193,la,historia,history,dějiny,noun
194,,entender,to understand,rozumět,verb
195,,dentro,inside,uvnitř,adverb
196,,casi,almost,téměř,adverb
197,la,puerta,door,dveře,noun
198,,significar,to mean,znamenat,verb
199,la,semana,week,týden,noun
200,,hacia,toward,směrem k,preposition
201,,quizás,maybe,možná,adverb
202,,junto,together,spolu,adjective
203,el,niño,kid,chlapec,noun
204,,pronto,soon,brzy,adverb
205,el,tío,uncle,strýc,noun
206,la,suerte,luck,štěstí,noun
207,la,ciudad,city,město,noun
208,,siquiera,not even,ani,adverb
209,,feliz,happy,šťastný,adjective
210,la,hija,daughter,dcera,noun
211,el,minuto,minute,minuta,noun
212,,cuánto,how much,kolik,pronoun
213,,os,you all,vám,pronoun
214,la,muerte,death,smrt,noun
215,,dejar,to let,nechat,verb
216,la,realidad,reality,realita,noun
217,,dar,to give,dát,verb
218,,importante,important,důležitý,adjective
219,el,corazón,heart,srdce,noun
220,el,miedo,fear,strach,noun
221,el,jefe,boss,šéf,noun
222,la,agua,water,voda,noun
223,,justo,just,spravedlivý,adjective
224,la,esposa,wife,manželka,noun
225,la,mano,hand,ruka,noun
226,el,ojo,eye,oko,noun
227,,adelante,ahead,vpřed,adverb
228,,encontrar,to find,najít,verb
229,,cinco,five,pět,number
230,,ninguno,none,žádný,adjective
231,la,cara,face,tvář,noun
232,el,cuidado,care,pozor,noun
233,,bajo,under,pod,preposition
234,,cerca,near,blízko,adverb
235,,viejo,old,starý,adjective
236,,bastante,enough,dost,adverb
237,el,fin,end,konec,noun
238,,tomar,to take,vzít,verb
239,,único,only,jediný,adjective
240,,escuchar,to listen,poslouchat,verb
241,,ningún,none,žádný,adjective
242,,suficiente,enough,dostatečný,adjective
243,el,punto,point,bod,noun
244,,cuándo,when,kdy,adverb
245,,seguir,to follow,pokračovat,verb
246,el,equipo,team,tým,noun
247,,grande,large,velký,adjective
248,,llegar,to arrive,dorazit,verb
249,,incluso,even,dokonce,adverb
250,el,doctor,doctor,doktor,noun
251,,difícil,difficult,těžký,adjective
252,,aunque,although,ačkoli,conjunction
253,el,coche,car,auto,noun
254,la,clase,class,třída,noun
255,,cuatro,four,čtyři,number
256,,pequeño,small,malý,adjective
257,,llamar,to call,zavolat,verb
258,,allá,over there,tamhle,adverb
259,,último,last,poslední,adjective
260,,arriba,up,nahoře,adverb
261,la,tierra,earth,země,noun
262,la,guerra,war,válka,noun
263,,igual,similar,stejný,adjective
264,,loco,crazy,blázen,adjective
265,la,sangre,blood,krev,noun
266,la,vuelta,return,návrat,noun
267,,trabajar,to work,pracovat,verb
268,el,juego,game,hra,noun
269,el,cuerpo,body,tělo,noun
270,,entrar,to enter,vstoupit,verb
271,la,oportunidad,opportunity,příležitost,noun
272,el,teléfono,phone,telefon,noun
273,el,final,end,konec,noun
274,,listo,ready,připravený,adjective
275,la,fiesta,party,oslava,noun
276,el,auto,car,auto,noun
277,,vivir,to live,žít,verb
278,,posible,possible,možný,adjective
279,la,hermana,sister,sestra,noun
280,el,número,number,číslo,noun
281,el,mes,month,měsíc,noun
282,,exactamente,exactly,přesně,adverb
283,la,culpa,fault,vina,noun
284,,abajo,down,dole,adverb
285,la,escuela,school,škola,noun
286,,fuerte,strong,silný,adjective
287,,ello,it,ono,pronoun
288,la,pregunta,question,otázka,noun
289,,atrás,back,vzadu,adverb
290,,malo,bad,špatný,adjective
291,el,capitán,captain,kapitán,noun
292,el,bebé,baby,miminko,noun
293,,segundo,second,druhý,adjective
294,,mayor,older,starší,adjective
295,la,comida,food,jídlo,noun
296,,morir,to die,zemřít,verb
297,,conocer,to meet,poznat,verb
298,,fácil,easy,snadný,adjective
299,,comer,to eat,jíst,verb
300,la,lista,list,seznam,noun
301,,probablemente,probably,pravděpodobně,adverb
302,la,habitación,room,pokoj,noun
303,,tratar,to try,zkusit,verb
304,,buscar,to search,hledat,verb
305,,tampoco,neither,ani,adverb
306,,amar,to love,milovat,verb
307,,joven,young,mladý,adjective
308,el,par,pair,pár,noun
309,,simplemente,simply,jednoduše,adverb
310,el,medio,middle,střed,noun
311,el,sentido,sense,smysl,noun
312,,lejos,far,daleko,adverb
313,la,arma,weapon,zbraň,noun
314,,alto,tall,vysoký,adjective
315,el,dólar,dollar,dolar,noun
316,,seis,six,šest,number
317,la,seguridad,security,bezpečnost,noun
318,,preocupar,to worry,starat se,verb
319,la,palabra,word,slovo,noun
320,,quedar,to stay,zůstat,verb
321,la,oficina,office,kancelář,noun
322,,matar,to kill,zabít,verb
323,la,cama,bed,postel,noun
324,,además,besides,navíc,adverb
325,el,recuerdo,memory,vzpomínka,noun
326,,acerca,about,ohledně,preposition
327,la,luz,light,světlo,noun
328,,correcto,right,správný,adjective
329,el,demonio,demon,démon,noun
330,,dormir,to sleep,spát,verb
331,el,sitio,place,místo,noun
332,,ayudar,to help,pomoci,verb
333,,conseguir,to get,dostat,verb
334,el,marido,husband,manžel,noun
335,la,paz,peace,mír,noun
336,la,idiota,idiot,idiot,noun
337,el,plan,plan,plán,noun
338,,cuanto,how much,kolik,pronoun
339,,peor,worse,horší,adjective
340,el,pueblo,town,vesnice,noun
341,,vivo,alive,živý,adjective
342,el,john,John,John,noun
343,,bastar,to suffice,stačit,verb
344,el,paso,step,krok,noun
345,la,música,music,hudba,noun
346,,anoche,last night,včera večer,adverb
347,el,país,country,země,noun
348,el,rey,king,král,noun
349,el,perdón,forgiveness,odpuštění,noun
350,,faltar,to lack,chybět,verb
351,el,diablo,devil,ďábel,noun
352,,perder,to lose,ztratit,verb
353,la,niña,girl,holčička,noun
354,la,señorita,miss,slečna,noun
355,,diez,ten,deset,number
356,,llevar,to carry,nést,verb
357,el,hospital,hospital,nemocnice,noun
358,,maldito,damn,prokletý,adjective
359,el,fuego,fire,oheň,noun
360,,poner,to put,položit,verb
361,la,calle,street,ulice,noun
362,,acabar,to finish,skončit,verb
363,la,prueba,test,zkouška,noun
364,,increíble,incredible,neuvěřitelný,adjective
365,,real,real,skutečný,adjective
366,el,libro,book,kniha,noun
367,el,orden,order,pořádek,noun
368,,especial,special,zvláštní,adjective
369,el,café,coffee,káva,noun
370,,duro,hard,tvrdý,adjective
371,,empezar,to start,začít,verb
372,,afuera,outside,venku,adverb
373,el,perro,dog,pes,noun
374,el,cielo,sky,nebe,noun
375,el,puesto,position,pozice,noun
376,el,viaje,trip,cesta,noun
377,,detrás,behind,vzadu,adverb
378,el,cuarto,room,pokoj,noun
379,,querido,dear,milý,adjective
380,,libre,free,volný,adjective
381,,cual,which,který,pronoun
382,,sonar,to sound,znít,verb
383,,jugar,to play,hrát,verb
384,el,cambio,change,změna,noun
385,la,película,movie,film,noun
386,el,millón,million,milión,noun
387,la,llamada,call,hovor,noun
388,el,resto,rest,zbytek,noun
389,,extraño,strange,podivný,adjective
390,el,presidente,president,prezident,noun
391,la,ropa,clothes,oblečení,noun
392,el,agente,agent,agent,noun
393,la,información,information,informace,noun
394,,raro,rare,divný,adjective
395,,general,general,obecný,adjective
396,el,trato,deal,dohoda,noun
397,,usar,to use,používat,verb
398,,perfecto,perfect,dokonalý,adjective
399,el,derecho,right,právo,noun
400,el,modo,way,způsob,noun
401,,ayer,yesterday,včera,adverb
402,,demás,others,ostatní,pronoun
403,la,noticia,news,zpráva,noun
404,el,asesino,killer,vrah,noun
405,el,control,control,kontrola,noun
406,el,odio,hate,nenávist,noun
407,el,frente,front,čelo,noun
408,,divertido,funny,zábavný,adjective
409,,recordar,to remember,pamatovat si,verb
410,la,amiga,friend,přítelkyně,noun
411,el,grupo,group,skupina,noun
412,el,asunto,matter,záležitost,noun
413,el,mensaje,message,zpráva,noun
414,,encima,above,nad,adverb
415,la,atención,attention,pozornost,noun
416,,diferente,different,různý,adjective
417,,callar,to be quiet,mlčet,verb
418,el,daño,damage,škoda,noun
419,,suceder,to happen,stát se,verb
420,,cambiar,to change,změnit,verb
421,,siguiente,next,následující,adjective
422,,sino,but,nýbrž,conjunction
423,el,médico,doctor,lékař,noun
424,la,boca,mouth,ústa,noun
425,el,error,mistake,chyba,noun
426,,jamás,never,nikdy,adverb
427,,largo,long,dlouhý,adjective
428,la,pena,sorrow,smutek,noun
429,la,voz,voice,hlas,noun
430,el,futuro,future,budoucnost,noun
431,el,secreto,secret,tajemství,noun
432,el,baño,bathroom,koupelna,noun
433,,mil,thousand,tisíc,number
434,la,novia,girlfriend,přítelkyně,noun
435,,propio,own,vlastní,adjective
436,el,sueño,dream,sen,noun
437,la,fuerza,strength,síla,noun
438,,ambos,both,oba,pronoun
439,el,dolor,pain,bolest,noun
440,,encantar,to love,milovat,verb
441,la,edad,age,věk,noun
442,el,pie,foot,chodidlo,noun
443,,negro,black,černý,adjective
444,,ganar,to win,vyhrát,verb
445,el,aire,air,vzduch,noun
446,,lamentar,to regret,litovat,verb
447,,adónde,where,kam,adverb
448,,disculpar,to forgive,omluvit,verb
449,la,cita,appointment,schůzka,noun
450,el,sistema,system,systém,noun
451,el,gusto,taste,vkus,noun
452,,pobre,poor,chudý,adjective
453,el,negocio,business,obchod,noun
454,la,mente,mind,mysl,noun
455,,tuyo,yours,tvůj,pronoun
456,el,campo,countryside,pole,noun
457,la,situación,situation,situace,noun
458,,tras,behind,za,preposition
459,el,hotel,hotel,hotel,noun
460,,vosotros,you all (informal),vy,pronoun
461,,funcionar,to function,fungovat,verb
462,la,foto,photo,fotografie,noun
463,el,abogado,lawyer,advokát,noun
464,,alrededor,around,kolem,adverb
465,,próximo,next,příští,adjective
466,,terminar,to finish,ukončit,verb
467,,pagar,to pay,platit,verb
468,,personal,personal,osobní,adjective
469,,ocurrir,to occur,nastat,verb
470,la,mitad,half,polovina,noun
471,el,pelo,hair,vlasy,noun
472,el,oficial,officer,úředník,noun
473,la,compañía,company,společnost,noun
474,la,relación,relationship,vztah,noun
475,el,montón,a lot,hromada,noun
476,la,cena,dinner,večeře,noun
477,el,través,across,přes,noun
478,el,accidente,accident,nehoda,noun
479,la,caja,box,krabice,noun
480,,tranquilo,calm,klidný,adjective
481,,bonito,pretty,pěkný,adjective
482,la,vista,view,výhled,noun
483,,estúpido,stupid,hloupý,adjective
484,la,línea,line,linie,noun
485,el,caballero,gentleman,rytíř,noun
486,la,tienda,store,obchod,noun
487,,comprar,to buy,koupit,verb
488,el,centro,center,centrum,noun
489,,salvo,except,kromě,preposition
490,el,sol,sun,slunce,noun
491,,tonto,fool,hlupák,adjective
492,la,hambre,hunger,hlad,noun
493,la,mesa,table,stůl,noun
494,la,respuesta,answer,odpověď,noun
495,,completamente,completely,úplně,adverb
496,la,carta,letter,dopis,noun
497,,totalmente,totally,zcela,adverb
498,,imposible,impossible,nemožný,adjective
499,el,novio,boyfriend,přítel,noun
500,,normal,normal,normální,adjective
501,el,traje,suit,oblek,noun
502,la,dirección,address,adresa,noun
503,,siete,seven,sedm,number
504,el,placer,pleasure,potěšení,noun
505,el,barco,ship,loď,noun
506,,blanco,white,bílý,adjective
507,el,profesor,teacher,učitel,noun
508,el,servicio,service,služba,noun
509,el,muchacho,boy,chlapec,noun
510,la,reunión,meeting,schůze,noun
511,la,ley,law,zákon,noun
512,el,programa,program,program,noun
513,la,carrera,career,kariéra,noun
514,el,cumpleaños,birthday,narozeniny,noun
515,la,canción,song,píseň,noun
516,,hermoso,beautiful,krásný,adjective
517,la,universidad,university,univerzita,noun
518,la,boda,wedding,svatba,noun
519,,cualquiera,anyone,kdokoli,pronoun
520,la,sala,room,sál,noun
521,la,decisión,decision,rozhodnutí,noun
522,el,don,gift,dar,noun
523,,necesario,necessary,nutný,adjective
524,la,prisa,hurry,spěch,noun
525,el,embargo,embargo,embargo,noun
526,,interesante,interesting,zajímavý,adjective
